Year,Series,Ministry,Department,Value
2013,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,15
2013,Original Budget,Ministry of Health,,557
2013,Original Budget,Ministry of Infrastructure and Public Utilities,,15
2013,Original Budget,Ministry of Internal Affairs,,159
2013,Original Budget,Ministry of Justice and Social Welfare,,23
2013,Original Budget,"Ministry of Lands, Mines & Water Resources",,29
2013,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,1
2013,Original Budget,Ministry of Youth Development and Sports,,37
2013,Original Budget,Prime Ministers Ministry,,277
2014,Original Budget,Constitutional Agencies,,4
2014,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,51
2014,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,465
2014,Original Budget,Ministry of Education & Training,,271
2014,Original Budget,Ministry of Finance and Economic Management,,117
2014,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,17
2014,Original Budget,Ministry of Health,,274
2014,Original Budget,Ministry of Infrastructure and Public Utilities,,698
2014,Original Budget,Ministry of Internal Affairs,,7
2014,Original Budget,Ministry of Justice and Social Welfare,,33
2014,Original Budget,"Ministry of Lands, Mines & Water Resources",,29
2014,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,76
2014,Original Budget,Ministry of Youth Development and Sports,,9
2014,Original Budget,Prime Ministers Ministry,,748
2015,Original Budget,Constitutional Agencies,,9
2015,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,89
2015,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,583
2015,Original Budget,Ministry of Education & Training,,481
2015,Original Budget,Ministry of Finance and Economic Management,,4199
2015,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,15
2015,Original Budget,Ministry of Health,,201
2015,Original Budget,Ministry of Infrastructure and Public Utilities,,6833
2015,Original Budget,Ministry of Internal Affairs,,51
2015,Original Budget,Ministry of Justice and Social Welfare,,83
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",,17
2015,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,167
2015,Original Budget,Ministry of Youth Development and Sports,,16
2015,Original Budget,Prime Ministers Ministry,,3628
2016,Original Budget,Constitutional Agencies,,44
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,187
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,591
2016,Original Budget,Ministry of Education & Training,,495
2016,Original Budget,Ministry of Finance and Economic Management,,-1715
2016,Original Budget,Ministry of Health,,802
2016,Original Budget,Ministry of Infrastructure and Public Utilities,,2019
2016,Original Budget,Ministry of Internal Affairs,,31
2016,Original Budget,Ministry of Justice and Social Welfare,,82
2016,Original Budget,"Ministry of Lands, Mines & Water Resources",,234
2016,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,195
2016,Original Budget,Ministry of Youth Development and Sports,,8
2016,Original Budget,Prime Ministers Ministry,,5347
2017,Original Budget,Constitutional Agencies,,26
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,69
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,621
2017,Original Budget,Ministry of Education & Training,,820
2017,Original Budget,Ministry of Finance and Economic Management,,20
2017,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,3
2017,Original Budget,Ministry of Health,,300
2017,Original Budget,Ministry of Infrastructure and Public Utilities,,2301
2017,Original Budget,Ministry of Internal Affairs,,7
2017,Original Budget,Ministry of Justice and Social Welfare,,262
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",,37
2017,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,384
2017,Original Budget,Ministry of Youth Development and Sports,,12
2017,Original Budget,Prime Ministers Ministry,,6377
2018,Original Budget,Constitutional Agencies,,18
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,106
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,565
2018,Original Budget,Ministry of Education & Training,,458
2018,Original Budget,Ministry of Finance and Economic Management,,235
2018,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,5
2018,Original Budget,Ministry of Health,,237
2018,Original Budget,Ministry of Infrastructure and Public Utilities,,1732
2018,Original Budget,Ministry of Internal Affairs,,8
2018,Original Budget,Ministry of Justice and Social Welfare,,-110
2018,Original Budget,"Ministry of Lands, Mines & Water Resources",,203
2018,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,127
2018,Original Budget,Ministry of Youth Development and Sports,,9
2018,Original Budget,Prime Ministers Ministry,,4907
2019,Original Budget,Constitutional Agencies,,38
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,114
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,876
2019,Original Budget,Ministry of Education & Training,,921
2019,Original Budget,Ministry of Finance and Economic Management,,156
2019,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,46
2019,Original Budget,Ministry of Health,,312
2019,Original Budget,Ministry of Infrastructure and Public Utilities,,4465
2019,Original Budget,Ministry of Internal Affairs,,121
2019,Original Budget,Ministry of Justice and Social Welfare,,38
2019,Original Budget,"Ministry of Lands, Mines & Water Resources",,159
2019,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,220
2019,Original Budget,Ministry of Youth Development and Sports,,10
2019,Original Budget,Prime Ministers Ministry,,3902
2020,Original Budget,Constitutional Agencies,,14
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,51
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,404
2020,Original Budget,Ministry of Education & Training,,1296
2020,Original Budget,Ministry of Finance and Economic Management,,181
2020,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,3
2020,Original Budget,Ministry of Health,,1012
2020,Original Budget,Ministry of Infrastructure and Public Utilities,,2917
2020,Original Budget,Ministry of Internal Affairs,,43
2020,Original Budget,Ministry of Justice and Social Welfare,,31
2020,Original Budget,"Ministry of Lands, Mines & Water Resources",,302
2020,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,102
2020,Original Budget,Ministry of Youth Development and Sports,,32
2020,Original Budget,Prime Ministers Ministry,,408
2021,Original Budget,Constitutional Agencies,,74
2021,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,26
2021,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,278
2021,Original Budget,Ministry of Education & Training,,2042
2021,Original Budget,Ministry of Finance and Economic Management,,119
2021,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",,12
2021,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,8
2021,Original Budget,Ministry of Health,,1461
2021,Original Budget,Ministry of Infrastructure and Public Utilities,,4601
2021,Original Budget,Ministry of Internal Affairs,,11
2021,Original Budget,"Ministry of Lands, Mines & Water Resources",,317
2021,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,222
2021,Original Budget,"Ministry of Youth, Justice and Community Services",,55
2021,Original Budget,Prime Ministers Ministry,,1246
2022,Original Budget,Constitutional Agencies,,23
2022,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,18
2022,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,249
2022,Original Budget,Ministry of Education & Training,,1102
2022,Original Budget,Ministry of Finance and Economic Management,,-93
2022,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",,30
2022,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,232
2022,Original Budget,Ministry of Health,,1175
2022,Original Budget,Ministry of Infrastructure and Public Utilities,,4089
2022,Original Budget,Ministry of Internal Affairs,,52
2022,Original Budget,"Ministry of Lands, Mines & Water Resources",,209
2022,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,19
2022,Original Budget,"Ministry of Youth, Justice and Community Services",,35
2022,Original Budget,Prime Ministers Ministry,,535
2023,Original Budget,Constitutional Agencies,,21
2023,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,34
2023,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,371
2023,Original Budget,Ministry of Education & Training,,773
2023,Original Budget,Ministry of Finance and Economic Management,,1030
2023,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",,42
2023,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,84
2023,Original Budget,Ministry of Health,,595
2023,Original Budget,Ministry of Infrastructure and Public Utilities,,2983
2023,Original Budget,Ministry of Internal Affairs,,175
2023,Original Budget,"Ministry of Lands, Mines & Water Resources",,783
2023,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,135
2023,Original Budget,"Ministry of Youth, Justice and Community Services",,34
2023,Original Budget,Prime Ministers Ministry,,2475
2024,Original Budget,Constitutional Agencies,,35
2024,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,52
2024,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,876
2024,Original Budget,Ministry of Education & Training,,320
2024,Original Budget,Ministry of Finance and Economic Management,,30
2024,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",,38
2024,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,0
2024,Original Budget,Ministry of Health,,345
2024,Original Budget,Ministry of Infrastructure and Public Utilities,,4266
2024,Original Budget,Ministry of Internal Affairs,,374
2024,Original Budget,"Ministry of Lands, Mines & Water Resources",,367
2024,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,17
2024,Original Budget,"Ministry of Youth, Justice and Community Services",,58
2024,Original Budget,Prime Ministers Ministry,,665
2004,Original Budget,Constitutional Agencies,State Law Office,3
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",19
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,8
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,23
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,14
2004,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,3
2004,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,19
2004,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,3
2004,Original Budget,Ministry of Education & Training,Director General Directorate,92
2004,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,76
2004,Original Budget,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,0
2004,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,4
2004,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",22
2004,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,6
2004,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,2
2004,Original Budget,Ministry of Health,Department of Health,45
2004,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,23
2004,Original Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,1
2004,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,39
2004,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,14
2004,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,15
2004,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,29
2004,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,2
2004,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,4
2004,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,3
2004,Original Budget,Prime Ministers Ministry,Prime Ministers Cabinet,8
2005,Original Budget,Constitutional Agencies,Judiciary,5
2005,Original Budget,Constitutional Agencies,Public Service Commission,6
2005,Original Budget,Constitutional Agencies,State Law Office,2
2005,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,13
2005,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,25
2005,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,4
2005,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,1
2005,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,27
2005,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,18
2005,Original Budget,Ministry of Education & Training,Director General Directorate,56
2005,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,102
2005,Original Budget,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,5
2005,Original Budget,Ministry of Finance and Economic Management,MFEM Cabinet,1
2005,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,4
2005,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",6
2005,Original Budget,Ministry of Health,Department of Health,70
2005,Original Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,4
2005,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,58
2005,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,16
2005,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,13
2005,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,10
2005,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,2
2005,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,3
2005,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,2
2005,Original Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,4
2005,Original Budget,Prime Ministers Ministry,Prime Ministers Cabinet,1
2006,Original Budget,Constitutional Agencies,Judiciary,13
2006,Original Budget,Constitutional Agencies,Parliament,4
2006,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,45
2006,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,20
2006,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,1
2006,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,2
2006,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,33
2006,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,16
2006,Original Budget,Ministry of Education & Training,Director General Directorate,157
2006,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,139
2006,Original Budget,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,9
2006,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,105
2006,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",6
2006,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,0
2006,Original Budget,Ministry of Health,Department of Health,86
2006,Original Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,15
2006,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,57
2006,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,22
2006,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,57
2006,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,16
2006,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,24
2006,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,3
2006,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,1
2006,Original Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,1
2006,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,13
2007,Original Budget,Constitutional Agencies,Judiciary,24
2007,Original Budget,Constitutional Agencies,Office of the Ombudsman,1
2007,Original Budget,Constitutional Agencies,Parliament,0
2007,Original Budget,Constitutional Agencies,Public Service Commission,10
2007,Original Budget,Constitutional Agencies,State Law Office,0
2007,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,1
2007,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,10
2007,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,6
2007,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,3
2007,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,45
2007,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,1
2007,Original Budget,Ministry of Education & Training,Director General Directorate,67
2007,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,61
2007,Original Budget,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,2
2007,Original Budget,Ministry of Finance and Economic Management,MCA Vanuatu Program Management,30
2007,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,33
2007,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",6
2007,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,4
2007,Original Budget,Ministry of Health,Department of Health,101
2007,Original Budget,Ministry of Internal Affairs,Civil Registry Office,2
2007,Original Budget,Ministry of Internal Affairs,Department of Labour,2
2007,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,41
2007,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,5
2007,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,35
2007,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,38
2007,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,17
2007,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,4
2007,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,60
2007,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,0
2008,Original Budget,Constitutional Agencies,Office of the Ombudsman,-1
2008,Original Budget,Constitutional Agencies,Parliament,4
2008,Original Budget,Constitutional Agencies,Public Service Commission,4
2008,Original Budget,Constitutional Agencies,State Law Office,9
