Year,Calculation Method,Sector,Industry,Value
2007,,Services,"Education, Health, Recreation, and Other Services","1,163"
2008,GDP by Production,,,"52,810"
2008,,"Agriculture, Fishing and Forestry",,"10,465"
2008,,Industry,,"4,509"
2008,,Services,,"32,564"
2008,,Plus Taxes less Subsidies on Products ,,"7,705"
2008,,Less imputed Bank Service Charge,,"2,434"
2008,,"Agriculture, Fishing and Forestry",Crop Production,"8,613"
2008,,"Agriculture, Fishing and Forestry",Animal Prodcution,804
2008,,"Agriculture, Fishing and Forestry",Forestry,622
2008,,"Agriculture, Fishing and Forestry",Fishing,427
2008,,Industry,Mining and Quarrying,22
2008,,Industry,Manufacturing,"1,044"
2008,,Industry,Electricity and Water Supply,"1,116"
2008,,Industry,Construction,"2,327"
2008,,Services,"Wholesale, Retail Trade, repair of Motorvehicles",773
2008,,Services,Other Wholesale Trade,"1,698"
2008,,Services,Retail Trade,"5,683"
2008,,Services,Transport,"1,480"
2008,,Services,Accomodation and Food Services,"2,427"
2008,,Services,Information and Communication,"2,638"
2008,,Services,Finance and Insurance ,"4,826"
2008,,Services,Real Estate,"3,838"
2008,,Services,"Professional, Scientifc, Technical, Adm/Services","1,659"
2008,,Services,Government Services,"6,322"
2008,,Services,"Education, Health, Recreation, and Other Services","1,221"
2009,GDP by Production,,,"54,414"
2009,,"Agriculture, Fishing and Forestry",,"9,963"
2009,,Industry,,"5,754"
2009,,Services,,"34,045"
2009,,Plus Taxes less Subsidies on Products ,,"7,207"
2009,,Less imputed Bank Service Charge,,"2,555"
2009,,"Agriculture, Fishing and Forestry",Crop Production,"8,311"
2009,,"Agriculture, Fishing and Forestry",Animal Prodcution,561
2009,,"Agriculture, Fishing and Forestry",Forestry,663
2009,,"Agriculture, Fishing and Forestry",Fishing,428
2009,,Industry,Mining and Quarrying,22
2009,,Industry,Manufacturing,"1,192"
2009,,Industry,Electricity and Water Supply,"1,138"
2009,,Industry,Construction,"3,402"
2009,,Services,"Wholesale, Retail Trade, repair of Motorvehicles",810
2009,,Services,Other Wholesale Trade,"1,668"
2009,,Services,Retail Trade,"5,987"
2009,,Services,Transport,"2,535"
2009,,Services,Accomodation and Food Services,"2,827"
2009,,Services,Information and Communication,"3,031"
2009,,Services,Finance and Insurance ,"3,698"
2009,,Services,Real Estate,"3,906"
2009,,Services,"Professional, Scientifc, Technical, Adm/Services","1,911"
2009,,Services,Government Services,"6,638"
2009,,Services,"Education, Health, Recreation, and Other Services","1,035"
2010,GDP by Production,,,"55,099"
2010,,"Agriculture, Fishing and Forestry",,"10,425"
2010,,Industry,,"6,454"
2010,,Services,,"34,961"
2010,,Plus Taxes less Subsidies on Products ,,"5,964"
2010,,Less imputed Bank Service Charge,,"2,705"
2010,,"Agriculture, Fishing and Forestry",Crop Production,"8,381"
2010,,"Agriculture, Fishing and Forestry",Animal Prodcution,906
2010,,"Agriculture, Fishing and Forestry",Forestry,708
2010,,"Agriculture, Fishing and Forestry",Fishing,430
2010,,Industry,Mining and Quarrying,16
2010,,Industry,Manufacturing,"2,198"
2010,,Industry,Electricity and Water Supply,"1,221"
2010,,Industry,Construction,"3,020"
2010,,Services,"Wholesale, Retail Trade, repair of Motorvehicles",838
2010,,Services,Other Wholesale Trade,"1,737"
2010,,Services,Retail Trade,"6,561"
2010,,Services,Transport,"3,232"
2010,,Services,Accomodation and Food Services,"2,877"
2010,,Services,Information and Communication,"2,656"
2010,,Services,Finance and Insurance ,"3,628"
2010,,Services,Real Estate,"4,137"
2010,,Services,"Professional, Scientifc, Technical, Adm/Services","1,816"
2010,,Services,Government Services,"6,546"
2010,,Services,"Education, Health, Recreation, and Other Services",934
2011,GDP by Production,,,"56,829"
2011,,"Agriculture, Fishing and Forestry",,"10,759"
2011,,Industry,,"5,222"
2011,,Services,,"37,481"
2011,,Plus Taxes less Subsidies on Products ,,"6,461"
2011,,Less imputed Bank Service Charge,,"3,093"
2011,,"Agriculture, Fishing and Forestry",Crop Production,"8,676"
2011,,"Agriculture, Fishing and Forestry",Animal Prodcution,894
2011,,"Agriculture, Fishing and Forestry",Forestry,756
2011,,"Agriculture, Fishing and Forestry",Fishing,433
2011,,Industry,Mining and Quarrying,13
2011,,Industry,Manufacturing,"2,031"
2011,,Industry,Electricity and Water Supply,"1,252"
2011,,Industry,Construction,"1,925"
2011,,Services,"Wholesale, Retail Trade, repair of Motorvehicles",887
2011,,Services,Other Wholesale Trade,"1,852"
2011,,Services,Retail Trade,"6,871"
2011,,Services,Transport,"3,349"
2011,,Services,Accomodation and Food Services,"2,848"
2011,,Services,Information and Communication,"3,393"
2011,,Services,Finance and Insurance ,"3,957"
2011,,Services,Real Estate,"4,265"
2011,,Services,"Professional, Scientifc, Technical, Adm/Services","1,901"
2011,,Services,Government Services,"7,099"
2011,,Services,"Education, Health, Recreation, and Other Services","1,060"
2012,GDP by Production,,,"57,403"
2012,,"Agriculture, Fishing and Forestry",,"10,553"
2012,,Industry,,"4,064"
2012,,Services,,"39,138"
2012,,Plus Taxes less Subsidies on Products ,,"6,114"
2012,,Less imputed Bank Service Charge,,"2,468"
2012,,"Agriculture, Fishing and Forestry",Crop Production,"8,421"
2012,,"Agriculture, Fishing and Forestry",Animal Prodcution,887
2012,,"Agriculture, Fishing and Forestry",Forestry,809
2012,,"Agriculture, Fishing and Forestry",Fishing,436
2012,,Industry,Mining and Quarrying,19
2012,,Industry,Manufacturing,"1,751"
2012,,Industry,Electricity and Water Supply,"1,222"
2012,,Industry,Construction,"1,073"
2012,,Services,"Wholesale, Retail Trade, repair of Motorvehicles",820
2012,,Services,Other Wholesale Trade,"2,371"
2012,,Services,Retail Trade,"7,050"
2012,,Services,Transport,"4,470"
2012,,Services,Accomodation and Food Services,"2,973"
2012,,Services,Information and Communication,"3,102"
2012,,Services,Finance and Insurance ,"4,067"
2012,,Services,Real Estate,"4,653"
2012,,Services,"Professional, Scientifc, Technical, Adm/Services","1,520"
2012,,Services,Government Services,"7,079"
2012,,Services,"Education, Health, Recreation, and Other Services","1,035"
2013,GDP by Production,,,"57,669"
2013,,"Agriculture, Fishing and Forestry",,"10,698"
2013,,Industry,,"4,405"
2013,,Services,,"38,791"
2013,,Plus Taxes less Subsidies on Products ,,"6,292"
2013,,Less imputed Bank Service Charge,,"2,517"
2013,,"Agriculture, Fishing and Forestry",Crop Production,"8,496"
2013,,"Agriculture, Fishing and Forestry",Animal Prodcution,896
2013,,"Agriculture, Fishing and Forestry",Forestry,866
2013,,"Agriculture, Fishing and Forestry",Fishing,441
2013,,Industry,Mining and Quarrying,16
2013,,Industry,Manufacturing,"1,646"
2013,,Industry,Electricity and Water Supply,"1,245"
2013,,Industry,Construction,"1,499"
2013,,Services,"Wholesale, Retail Trade, repair of Motorvehicles",828
2013,,Services,Other Wholesale Trade,"2,255"
2013,,Services,Retail Trade,"7,081"
2013,,Services,Transport,"3,463"
2013,,Services,Accomodation and Food Services,"3,084"
2013,,Services,Information and Communication,"3,343"
2013,,Services,Finance and Insurance ,"4,277"
2013,,Services,Real Estate,"4,739"
2013,,Services,"Professional, Scientifc, Technical, Adm/Services","1,506"
2013,,Services,Government Services,"7,198"
2013,,Services,"Education, Health, Recreation, and Other Services","1,019"
2014,GDP by Production,,,"59,478"
2014,,"Agriculture, Fishing and Forestry",,"12,021"
2014,,Industry,,"4,167"
2014,,Services,,"40,282"
2014,,Plus Taxes less Subsidies on Products ,,"5,930"
2014,,Less imputed Bank Service Charge,,"2,922"
2014,,"Agriculture, Fishing and Forestry",Crop Production,"9,744"
2014,,"Agriculture, Fishing and Forestry",Animal Prodcution,904
2014,,"Agriculture, Fishing and Forestry",Forestry,928
2014,,"Agriculture, Fishing and Forestry",Fishing,446
2014,,Industry,Mining and Quarrying,16
2014,,Industry,Manufacturing,"1,808"
2014,,Industry,Electricity and Water Supply,"1,225"
2014,,Industry,Construction,"1,118"
2014,,Services,"Wholesale, Retail Trade, repair of Motorvehicles",638
2014,,Services,Other Wholesale Trade,"2,527"
2014,,Services,Retail Trade,"7,561"
2014,,Services,Transport,"3,584"
2014,,Services,Accomodation and Food Services,"3,123"
2014,,Services,Information and Communication,"3,433"
2014,,Services,Finance and Insurance ,"4,618"
2014,,Services,Real Estate,"4,868"
2014,,Services,"Professional, Scientifc, Technical, Adm/Services","1,488"
2014,,Services,Government Services,"7,331"
2014,,Services,"Education, Health, Recreation, and Other Services","1,110"
2015,GDP by Production,,,"59,696"
2015,,"Agriculture, Fishing and Forestry",,"17,860"
2015,,Industry,,"7,905"
2015,,Services,,"48,622"
2015,,Plus Taxes less Subsidies on Products ,,"8,718"
2015,,Less imputed Bank Service Charge,,"3,448"
2015,,"Agriculture, Fishing and Forestry",Crop Production,"15,457"
2015,,"Agriculture, Fishing and Forestry",Animal Prodcution,994
2015,,"Agriculture, Fishing and Forestry",Forestry,971
2015,,"Agriculture, Fishing and Forestry",Fishing,438
2015,,Industry,Mining and Quarrying,15
2015,,Industry,Manufacturing,"2,258"
2015,,Industry,Electricity and Water Supply,"1,577"
2015,,Industry,Construction,"4,054"
2015,,Services,"Wholesale, Retail Trade, repair of Motorvehicles",989
2015,,Services,Other Wholesale Trade,"3,118"
2015,,Services,Retail Trade,"9,577"
2015,,Services,Transport,"2,204"
2015,,Services,Accomodation and Food Services,"3,323"
2015,,Services,Information and Communication,"3,547"
2015,,Services,Finance and Insurance ,"6,776"
2015,,Services,Real Estate,"6,199"
2015,,Services,"Professional, Scientifc, Technical, Adm/Services","2,052"
2015,,Services,Government Services,"9,354"
2015,,Services,"Education, Health, Recreation, and Other Services","1,483"
2016,GDP by Production,,,"84,707"
2016,,"Agriculture, Fishing and Forestry",,"18,367"
2016,,Industry,,"8,452"
2016,,Services,,"52,763"
2016,,Plus Taxes less Subsidies on Products ,,"8,489"
2016,,Less imputed Bank Service Charge,,"3,364"
2016,,"Agriculture, Fishing and Forestry",Crop Production,"15,803"
2016,,"Agriculture, Fishing and Forestry",Animal Prodcution,"1,081"
2016,,"Agriculture, Fishing and Forestry",Forestry,"1,045"
2016,,"Agriculture, Fishing and Forestry",Fishing,438
2016,,Industry,Mining and Quarrying,27
2016,,Industry,Manufacturing,"2,125"
2016,,Industry,Electricity and Water Supply,"1,671"
2016,,Industry,Construction,"4,628"
2016,,Services,"Wholesale, Retail Trade, repair of Motorvehicles",903
2016,,Services,Other Wholesale Trade,"3,510"
2016,,Services,Retail Trade,"11,226"
2016,,Services,Transport,"3,021"
2016,,Services,Accomodation and Food Services,"3,392"
2016,,Services,Information and Communication,"3,817"
2016,,Services,Finance and Insurance ,"7,133"
2016,,Services,Real Estate,"6,285"
2016,,Services,"Professional, Scientifc, Technical, Adm/Services","2,756"
2016,,Services,Government Services,"9,254"
2016,,Services,"Education, Health, Recreation, and Other Services","1,468"
2017,GDP by Production,,,"94,887"
2017,,"Agriculture, Fishing and Forestry",,"20,278"
2017,,Industry,,"9,650"
2017,,Services,,"57,745"
2017,,Plus Taxes less Subsidies on Products ,,"10,444"
2017,,Less imputed Bank Service Charge,,"3,228"
2017,,"Agriculture, Fishing and Forestry",Crop Production,"17,620"
2017,,"Agriculture, Fishing and Forestry",Animal Prodcution,"1,091"
2017,,"Agriculture, Fishing and Forestry",Forestry,"1,030"
2017,,"Agriculture, Fishing and Forestry",Fishing,537
2017,,Industry,Mining and Quarrying,27
2017,,Industry,Manufacturing,"2,755"
2017,,Industry,Electricity and Water Supply,"1,669"
2017,,Industry,Construction,"5,198"
2017,,Services,"Wholesale, Retail Trade, repair of Motorvehicles","1,221"
2017,,Services,Other Wholesale Trade,"3,216"
2017,,Services,Retail Trade,"13,116"
2017,,Services,Transport,"3,990"
2017,,Services,Accomodation and Food Services,"3,969"
2017,,Services,Information and Communication,"4,725"
2017,,Services,Finance and Insurance ,"5,963"
2017,,Services,Real Estate,"6,610"
2017,,Services,"Professional, Scientifc, Technical, Adm/Services","2,840"
2017,,Services,Government Services,"10,559"
2017,,Services,"Education, Health, Recreation, and Other Services","1,537"
2018,GDP by Production,,,"100,771"
2018,,"Agriculture, Fishing and Forestry",,"21,383"
2018,,Industry,,"10,173"
2018,,Services,,"60,255"
2018,,Plus Taxes less Subsidies on Products ,,"11,912"
2018,,Less imputed Bank Service Charge,,"2,952"
2018,,"Agriculture, Fishing and Forestry",Crop Production,"18,557"
2018,,"Agriculture, Fishing and Forestry",Animal Prodcution,"1,202"
2018,,"Agriculture, Fishing and Forestry",Forestry,"1,079"
2018,,"Agriculture, Fishing and Forestry",Fishing,546
2018,,Industry,Mining and Quarrying,34
2018,,Industry,Manufacturing,"2,798"
2018,,Industry,Electricity and Water Supply,"1,770"
2018,,Industry,Construction,"5,572"
2018,,Services,"Wholesale, Retail Trade, repair of Motorvehicles","1,278"
2018,,Services,Other Wholesale Trade,"3,354"
2018,,Services,Retail Trade,"13,448"
2018,,Services,Transport,"3,738"
2018,,Services,Accomodation and Food Services,"4,061"
2018,,Services,Information and Communication,"5,299"
2018,,Services,Finance and Insurance ,"6,455"
2018,,Services,Real Estate,"6,735"
2018,,Services,"Professional, Scientifc, Technical, Adm/Services","2,953"
2018,,Services,Government Services,"11,258"
2018,,Services,"Education, Health, Recreation, and Other Services","1,675"
