Pillar Code,Pillar Description,Goal Id,Goal Description,Policy Objective id,Policy Objective Description,Indicator id,Indicator description,Target,SDG Alignment1,SDG Alignment2,SDG Alignment3,SDG Alignment4,SDG Alignment5,Definition,Concept,Rationale,Computation Method,Computation Unit,Proxy,Dissaggregation,Data Source,Frequency of Collection
1,Society,6,A dynamic public sector with good governance principles and strong institutions delivering the support and services expected by all citizens of Vanuatu.,SOC 6.2,Reform State Owned Enterprises and statutory bodies to improve performance that is aligned to government priorities,SOC6.2.1,Proportion of SOEs and Statutory bodies submitting annual reports to their boards of directors.,By 2030 – 100%,,,,,,"A state-owned enterprise (SOE) is a business enterprise where the government or state has significant control through full, majority, or significant minority ownership.","•	SOE’s place a heavy burden on Vanuatu’s economy. They absorb large amounts of scarce capital on which they provide very low returns, at the same time divert government resources away from vital social investments in health and education, and drive-up the costs of doing business where they are the sole service providers. Therefore, it is really important to identify the proportion of SOE’s who have already submitted their annual reports because it can be used as a measure for performances of the SOE’s which are aligned to the Government priorities. And also, to help with the reforms of State-Owned Enterprises in relation to their performances and the delivery of the services and support they provide to all citizens of Vanuatu. ",To depict the number of SOE’s who have already submitted their annual reports to the board of directors for monitoring and evaluation purposes.,"•	Collect data through data request forms from department of local authorities.
•	 p = x / n
Where:
“x” is the number of items you’re interested in, and
“n” is the total number of items in the population
Note: While “p” is usually used as the symbol for the population proportion, you might also see the letter pi(?) used instead.

• Whether it increase by 100% or not;
 All you need to do is subtract your current year number of submissions by last year's number of submissions, then divide by last year's report submissions. Then, you multiply the resulting figure by 100, which provides you with a percentage figure.",percentage (%),Yes,National level,,Annually
1,Society,6,A dynamic public sector with good governance principles and strong institutions delivering the support and services expected by all citizens of Vanuatu.,SOC 6.3,"Enact political reforms that promote stability, accountability, constituency representation and civic engagement.",SOC6.3.1,Proportion of eligible population reporting to have voted in last election.,Target TBD after baseline established,16.7.2 (Tier 3),,,,,"Vote turnout is the percentage of eligible voters who cast a ballot in an election. Eligibility varies by country, and the voting-eligible population should not be confused with the total adult population.","Voters turnout will indicate whether or not political reforms are being implemented to promote stability accountability, constituency representation and civic engagement.",To depict the total number of eligible voters that voted in the last election in relation to the political reforms that are already put in placed and whether it is proactive or not.,Collect total number of eligible voters who voted in the last election through the electoral office biometric voters registration systems. Approved through MoA’s & MoU’s.,total count,No,"Rural/Urban, Area council, province, national",NSDP Baseline Survey,Four years
1,Society,6,A dynamic public sector with good governance principles and strong institutions delivering the support and services expected by all citizens of Vanuatu.,SOC 6.3,"Enact political reforms that promote stability, accountability, constituency representation and civic engagement.",SOC6.3.2,Proportion of population with an overall positive assessment of their local elected officials.,Target TBD after baseline established,,,,,,Assessments is the art of breaking down a leader/official into basic psychological components for study and use by academics and practitioners.,"Communities or people who assess their local elected officials, contributes to providing practical resource to municipal officials, local administrators, political parties at the local level, traditional and civic leaders, academia, civil society organizations, community groups, media and other key local actors as they conduct self-evaluations of democratic life in their locality, identify democratic strengths and weaknesses, and translate these into local reform and development priorities.",To depict the total number of people in the general population who provide only positive assessment for their local elected officials. ,"•	p = x / n
Where:
“x” is the number of items you’re interested in, and
“n” is the total number of items in the population
Note: While “p” is usually used as the symbol for the population proportion, you might also see the letter pi(?) used instead.","fraction, percentages(%)",No,"Rural/Urban, Area council, province, national",NSDP Baseline Survey,Annually
1,Society,6,A dynamic public sector with good governance principles and strong institutions delivering the support and services expected by all citizens of Vanuatu.,SOC 6.5,Strengthen local authorities and municipal institutions to enable decentralised service delivery,SOC6.5.2,Proportion of provinces with up-to-date three year “rolling” plans submitted to DLA,By 2030 100% strengthening of local authorities and municipal institutions to enable decentralised service delivery.,16.6.1 (Tier 1),,,,,"A three up-to-date plan is a vision of Provincial government’s future and the basic steps required to achieve that future. A good plan should include goals and objectives, desired outcomes, metrics for measuring the progress, timelines, and budgets.","•	A province that is growing and hopes to sustain that growth needs a set of strategies to guide its program development, build a solid financial foundation, and prepare for challenges that lie ahead. In other words, it needs a strategic plan that will effectively strengthens decentralised service delivery by 100% by the year 20230 in all provinces throughout Vanuatu.",to depict the provinces that have already submitted their up-to-date three-year rolling plans to Department of Local Authorities (DLA).,"•	Collect data through data request forms from department of local authorities.
•	 p = x / n
Where:
“x” is the number of items you’re interested in, and
“n” is the total number of items in the population
Note: While “p” is usually used as the symbol for the population proportion, you might also see the letter pi(?) used instead.","fraction, percentages(%)",No, province level,DLA,3 years
3,Economy,1,"A stable and prosperous economy, encouraging trade, investment and providing economic opportunities for all members of society throughout Vanuatu",ECO 1.3,Ensure public debt is sustainably managed and finances are directed towards projects with positive economic returns,ECO1.3.1,Change in national budget position (deficit/surplus) (GFS Tables),By 2030 increase by 15%,17.4.1 (Tier 1),,,,,"* Government Budget for the year. How the budget is used, either spending is within the budget line or exceeds the budget line.

* Budget Deficit – changes that occur when expenses exceed revenue and indicate the financial health of the country.

* Budget surplus – government income which come from taxes and duties exceeding its total expenditures
",Annual Government budget and allocation within the different government ministries. Allocation spending either exceeds or is less compared to its allocated budget.  Whether the ministries make revenue for the government and is measured through increase in surplus ,"* Captures the expenses of the government over the year.

* Depicts the government revenue.
","Total revenue:
(taxes of; goods&services, property, value added product, import, international transaction, others.Grants. Other revenues.)

Total expenses:
(compensation of employees, use of goods & services, interest, grants, social benefits,other benefits, other expenses).

* sum of all total revenues components subtract the sum of all total expenses components will give the position of the national budget.","sum & difference of count, percentage (%)",No,National,FMIS,Annually
3,Economy,1,"A stable and prosperous economy, encouraging trade, investment and providing economic opportunities for all members of society throughout Vanuatu",ECO 1.3,Ensure public debt is sustainably managed and finances are directed towards projects with positive economic returns,ECO1.3.2,Debt ratio to GDP (inclusive of SOE generated debt),By 2030 fall by 30%,,,,,,Dept ratio to GDP is the ratio between a country’s government dept (measured in units of currency) and its gross domestic product (GDP) (Measured in units of currency per year). A low dept – to – GDP ratio indicates an economy that produces and sells goods and services sufficient to pay back its depts without incurring further dept.,"The debt-to-GDP ratio is the metric comparing a country's public debt to its gross domestic product (GDP). By comparing what a country owes with what it produces, the debt-to-GDP ratio reliably indicates that particular country’s ability to pay back its debts. Often expressed as a percentage, this ratio can also be interpreted as the number of years needed to pay back debt, if GDP is dedicated entirely to debt repayment.
A country able to continue paying interest on its debt--without refinancing, and without hampering economic growth, is generally considered to be stable. A country with a high debt-to-GDP ratio typically has trouble paying off external trades (also called “public debts”), which are any balances owed to outside lenders. In such scenarios, creditors are apt to seek higher interest rates when lending. Extravagantly high debt-to-GDP ratios may deter creditors from lending money altogether.","* Depicts the proper management of use of public funds and that funds are directed for its purposes.

* Determines the GDP of the country
* Depicts the dept the country has to pay off","* Determine from your accounting records the amount of your current liabilities
* List each item and the amount in the current liabilities’ subsection of the liabilities section on.
* Calculate the sum of your current liabilities, and list the total at the bottom of the subsection

Dept to GDP=  (Total dept of country)/(Total   GDP of the country)","ratio, sum of count",No,National,Ministry of Finance & Economic Management (MFEM),Annually
3,Economy,1,"A stable and prosperous economy, encouraging trade, investment and providing economic opportunities for all members of society throughout Vanuatu",ECO 1.4,"Increase trade and investment opportunities and reduce barriers, including through the use of Aid-for-Trade ",ECO1.4.2,Current Accounts balance change,By 2020 improve by 20%,"17.12.1
(Tier 1)",,,,,"* Account balance tend to change overtime as prices change, (ie: rise and fall in Aid-for-Trade).
* Aid for trade - help given to developing countries to address their internal constrains to trade such as cumbersome regulation, poor infrastructure and lack of workforce skills (this is provided through bilateral country and regional program areas. Aid for trade investments can help achieve other development objectives including the economic empowerment of women financial inclusion, health and disability.","An account balance is the amount of money present in a financial repository, such as a savings or checking account at any given moment. The account balance is always the net amount after factoring.",Indicates the increase or decrease in trades investment opportunities of the country through the use of Aid for Trades.      ,"current accounts balance = (X-M) + NI + NT
* ""X"" is the export of goods & ""M"" is the import of goods.
* ""NI"" is the net income
* ""NT"" is the current transfers

in this formula, X-M stands for trade balance. For trade balance to be positive a country needs to have more exports than imports. The exports & imports include both goods & services produced in the country. The Net income mainly includes income from foreign countries and net transfers consists of government transfers.",percentage (%),No,National,RBV Quarterly Report,Quarterly 
3,Economy,1,"A stable and prosperous economy, encouraging trade, investment and providing economic opportunities for all members of society throughout Vanuatu",ECO 1.6,Require all new trade agreements to demonstrate tangible benefits in the national interest,ECO1.6.1,Trade agreement analysis reports,By 2030 improve by 15%,10.a.1 (Tier 1),,,,,"Bilateral and Multilateral agreements between states and other countries Vanuatu has signed concerning trade relationships. 
","Trade agreements are made between two or more nations that agreed on the terms of trade between them. They determine the tariffs and duties that countries impose on imports and exports. All trade agreements affect international trade. Imports are goods and services produced in a foreign country and bought by domestic residents
Trade is a basic economic concept involving the buying and selling of goods and services, with compensation paid by a buyer to a seller, or the exchange of goods or services between parties.","Trade agreements aim to strike a balance between flexibility and commitments. If there is too much flexibility, the value of the commitment is undermined. If there is too little flexibility, countries may refuse to make deep commitments or may easily renege on such commitments. This section explores how this trade-off works. It reviews the economic rationale for international trade cooperation and explains the reason for the inclusion of flexibilities in a trade agreement. It is important to highlight the distinction between the initial motivations for introducing flexibilities and the consequences of using such flexibilities. This section focuses on the reasons for including flexibilities while the effects of specific measures are examined in Sections

Economists have identified several rationales for the existence of trade agreements, such as those embodied in the WTO, and its antecedent, the General Agreement on Tariffs and Trade (GATT). 

Two main approaches can be distinguished.
1.	The first states that in the absence of a trade agreement, a country may be tempted to manipulate the terms-of-trade (i.e. the price of its exports relative to its imports) in order to increase its national income at the expense of its trading partners.
2.	 The economic and political difficulties that governments face in setting trade policies. “Trade agreements allow governments to escape terms-of-trade conflicts and/ or to resist pressures from the private sector and special-interest groups urging the government to deviate from a liberal trade policy.”",Trades Reports produced by the Department Of Trades & VNSO.,,No,National,"Customs Department
Department of Trades
Productive sectors (agriculture sector)",monthly
3,Economy,2,"Sustainable and well-maintained infrastructure and services for all, through inclusive and effective partnerships",ECO 2.5,Improve partnerships & costs effective use of resources to ensure sustainable asset management & maintenance budget.,ECO2.5.1,Variance from approved asset management budget,Increase by VT100 bill over the next five years,"
9.a.1 
(Tier 1)",,,,,"* Asset management, a systematic process of developing, operating, maintaining, upgrading, and disposing of assets in the most cost-effective manner (including all costs, risks and performance attributes).
* Inconsistency in asset management budget 
* To conserve adequate funds in the business for replacement of fixed assets at the end of their useful lives. Provision for depreciation based on historical cost will show inflated profits and lead to payment of excessive dividends","An increase will definitely reduce Inconsistency in asset management budget 
More variance will also conserve adequate funds in the business for replacement of fixed assets at the end of their useful lives. Provision for depreciation based on historical cost will show inflated profits and lead to payment of excessive dividends.","Reports that explain how the assets are tracking to the budget and, if there is a variance, why it occurred? Expenses outside of the budget must be approved by responsible Government minister (Finance) before utilised.","* Consult with DoFT
* Asset Listing Forms for Government departments/ Ministries ",,No,"National
Urban/Rural","* All Government Ministries
* Government Departments 
* Projects implemented through the Government",Annually
3,Economy,3,"A strong rural economy that creates opportunities, enables the development of rural communities and increasingly contributes to national prosperity",ECO 3.1,"Promote broad-based growth by strengthening linkages between tourism, infrastructure, agriculture and industry in rural areas and diversity the rural economy",ECO 3.1.1 ,"Total annual value of tourism industry, infrastructure, agricultural production and industry as a proportion of GDP",By 2030 proportion increase by 40%,"8.9.1
 (Tier 2)",8.9.2 (Tier 2),,,,"* Total value of tourism, industries, infrastructure and agriculture contributed to the GDP of Vanuatu. (tourism contributed about 65% of GDP, tourism is Vanuatu’s fastest growing sector, Agriculture contributing about 20% to GDP.

* Monetary measure of the market value of all goods and services produced in a specific time period (This includes Tourism industries, infrastructure and agriculture production annually for Vanuatu).","* Measure of production equal to the sum of Gross values added of all residents and institutional units engaged in the production and services (plus taxes & minus subsidies) on products not included in the value of the outputs. 
* GDP is represents the total dollar value of all goods and services produced over a specific time period – size of the economy", Indicates how much these sectors impact the economy and is measured through their proportion of GDP,"total annual value = (total annual value of Tourism)/(Total GDP) x100

* compute for infrastructure, industries and agriculture & add all the answers.","monetary figures(vt), percentage (%)",No,,"* Ministry of Trades (MTCIT)
* Ministry if infrastructure and public utilities (MIPU)
* Ministry of Agriculture (MALFFB)",Annually
3,Economy,3,"A strong rural economy that creates opportunities, enables the development of rural communities and increasingly contributes to national prosperity",ECO 3.2,Deepen the integration of the tourism sector into the rural economy to spread opportunities to rural communities,ECO 3.2.1,Average annual household income from tourism.,By 2030 will increase by 10% ,,,,,,* Tourism sector has created opportunities to surrounding communities to generate income through selling artefacts and other items they produce including food. Annual household income is the measure of the amount of income available to an average household in the area that is earned through tourism activities to generate income.,Source of Income that is earned by households annually from tourism activities undertaken especially within the rural communities.,"* Indicates how much the communities earn from tourism activities annually
* Depicts creativity in toursim activities within the rural communities.
* Indicates how much the tourism sector impacts the rural communities in terms of annual income per household.
",(Amount  of income earned per household annually from toursim)/(Total number of household),"monetary value (vt), percentage (%)",,"Area council, Province, National, Rural/Urban, ","* Department of Trades.
* department of Tourism",Annually
3,Economy,3,"A strong rural economy that creates opportunities, enables the development of rural communities and increasingly contributes to national prosperity",ECO 3.2,Deepen the integration of the tourism sector into the rural economy to spread opportunities to rural communities,ECO 3.2.2,Annual change in tourism by air and sea arrivals,By 2030 will increase by 30% ,,,,,,Annual Change in the number of incoming flights (Air) and boats (Sea) for tourism purposes ,"* Boats: incoming cruise ships
* International flights coming in through two international airports (Pekoa & Baurfield airport)","* Indicates the impact of tourism on the economy
* Depicts the development of tourism sector in Vanuatu (Tourism activities developed)","VISITORS (INCLUDE BOTH ARRIVAL AND DEPARTURE)
Annual Change: Number of visitors travelling by air in year 2(current year) – Number of Visitors Travelling by air in year 1(previous year)
Annual Change: Number of Visitors travelling by sea in year 2(Current year) – Number of Visitors Travelling by sea in year 1(previous year)

TOURIST
Annual Change: Number of Visitors and resident traveling in and out of the country by sea and air in year 1 (current year) Less (-) Number of visitors and resident traveling in and out the country by sea and air in year 2(previous year)

Percentage Change: Number of Visitors and resident traveling in and out of the country by sea and air in year 1 (current year) Less (-) Number of visitors and resident traveling in and out the country by sea and air in year 2(previous year) /(DIVIDED)
Number of Visitors and resident traveling in and out of the country by sea and air in year 1 (current year) x 100","total count, percentage (%)",,National,"* VNSO international visitor’s arrival (IVA) reports annually
* Customs inland Revenue (CIR) annual visitor’s reports annually 
",Annually
3,Economy,3,"A strong rural economy that creates opportunities, enables the development of rural communities and increasingly contributes to national prosperity",ECO 3.2,Deepen the integration of the tourism sector into the rural economy to spread opportunities to rural communities,ECO 3.2.3,Proportion of visitors traveling to outer islands,By 2030 will increase by 10%,,,,,,Number of tourist travelling to outer islands in cooperative relation to the total number of tourist visitors into the country,Number of tourists visiting the outer islands of Vanuatu either for a day pass or spend the night apart from the total number of tourist’s visitors into the country.,"* Indicates the impacts of tourism in the economy.
* Depicts the development of the tourism sector in the outer islands and the rural communities. ",(number of tourist visitors to the outer islands )/(total number of tourist visitors to vanuatu ) X100,"percentage (%), count",,"Province level, National level, Rural/Urban","* Tourism department
* Ministry of Trades
* Provincial government ","Monthly, Annually"
3,Economy,3,"A strong rural economy that creates opportunities, enables the development of rural communities and increasingly contributes to national prosperity",ECO 3.6,Improve the provision of government services in the rural areas,ECO 3.6.1,"Average travelling distance to the nearest school, health facility, police post by provinces.",By 2030 will increase by 30%,1.4.1  (Tier 3),,,,,"Government facilities (ie: hospitals, schools, aid posts etc.) located in the provincial areas are accessible and are at convenient distance for access by the people in the provinces. ","* Government services delivered to the provincial area are accessible to all people in the provinces especially the location of government facilities and distance for people to travel to and from the government services to their place of stay.
* The distance taken for individuals to travel from place of residence to gain access to government services such as schools and health facilities in relation to the population in the area is a indicator that that government uses to build better roads, and other important infrastructure that will allow easy access of that particular population to utilise these services. ","* Indicates how government services are decentralised throughout the provinces.
* Depicts the implementation of the Decentralisation Act and its impact on the people in the provinces.
*Increase employment for people in the provinces. 
* Information is delivered from the national level through the provincial level.","Distance = speed X Time
* t = Find time taken from the nearest government facility to the nearest household.
* s = Find the speed per hour from the nearest government facility to the nearest household
* d = Calculate the average travelling distance to the nearest government service

                   d =(s x t)/2","speed per hour.
Time in either minutes or hours",No,"Area council, Provincial , Rural, Urban, National",All government departments providing services to the provincial areas.,
3,Economy,3,"A strong rural economy that creates opportunities, enables the development of rural communities and increasingly contributes to national prosperity",ECO 3.6,Improve the provision of government services in the rural areas,ECO 3.6.2,number of controlled waste disposal facilities ,Three (3) provinces have a controlled waste disposal facility,,,,,,Waste facilities that are subject to legislative control in disposal (ie: facilities established and approved under the Waste Management Act).,Waste facilities that are subject to legislative control in disposal (ie: facilities established and approved under the Waste Management Act).,"* Depicts the amount of waste generated by companies
* Minimises illegal waste disposals areas/facilities",total count for Number of Approved waste disposal facilities by the Department of Environment under the Waste management Act,Total count,,"Urban, Rural, Province, National","* Ministry of climate change and adaptation
* Department of Environmental Protection and Conservation (DEPC)",Annually
3,Economy,4,"An enabling business environment, creating opportunities and employment for entrepreneurs throughout Vanuatu",ECO 4.4,Improve and expand the range of sustainable tourism products and services throughout Vanuatu and strengthen links to local production,ECO 4.4.1 ,Proportion of registered hospitality institutions with rooms and services equipped with energy efficient lighting and appliances,By 2020 increase 20%,8.9.1 (Tier 2),8.9.2 (Tier 2),,,,"* Energy efficiency aims to reduce the amount of energy required to provide products and services. Improvements in energy efficiency are generally achieved by adopting a more efficient technology, production processes and materials or applications that can be accepted and used in Vanuatu to reduce energy loss within registered hospitality institutions to provide services. The use of energy efficient appliances and methods are ways to mitigate climate change, improve energy security and grow economies while delivering environmental and social benefits.
* Share or part of all registered hospitality institutions within the tourism sectors use energy efficient appliances and lightnings to provide services to the public and also generate income to the country’s economy.",Reducing the amount of energy used to provide products and services within registered tourism institutions.,Depicts the number of tourism institutions providing energy efficient services throughout Vanuatu and promote climate change.,"(number of tourism institution using energy sufficient lightings & appliances in vanuatu)/(total number of registered tourism institution) X 100
",percentage (%),No,,Registerd tourism institutions,"Monthly, Annually"
2,Environment,2,An economy which fosters sustainable growth and development through low impact industries and modern technologies to ensure the wellbeing of future generations,ENV 2.6,Ensure adequate financial resources to support our sustainable development aspirations,ENV 2.6.1,Proportion of funding requested by DEPC in support of sustainable development approved through NPP/percentage of government expenditure for environmental activities,Government expenditure for environmental activities has increased by at least 15 million vatu from the 2016 baseline,13.a.1 (R) (Tier 3) ,17.7.1 (Tier 3),,,,"* Part or share of funding that is requested by the Department of Environmental Protection and Conservation (DEPC) to the government budget through New Project Proposals (NPP) and is approved by the government (NPP Committee) for implementation of Environmental activities to promote a sustainable environment for the country.

* New initiatives that are requested by DEPC to the government as part of environmental sustainability activities is considered by the government to promote a clean environment and to support sustainable development aspirations","* The idea of creating new environmental initiatives is increasing to support our sustainable environment development aspirations. For instance, “Ban of Plastic Bags” this is an initiative that DEPC has requested the Government for its support through NPP’s to support the ban and at the same time promote a clean Environment for all. Such initiatives require the governments input through funding to successfully implement the activities especially in the Environmental sector.

* Innovative thinking for sustainability – meeting the needs of the present without compromising the ability of the future generations to meet their needs – environmentally, socially, economically: (Planet, People, Profits). ","* Promote a sustainable and clean Environment for all
* Promote management of environment resources and other natural resources for future utilisation 
* Depicts the risk of environmental degradation if resources are not managed well and poor environmental management","New project proposals developed by the Department f Environment under the Ministry of Climate Change and Adaptation (MoCCA), reviewed by the executive of MoCCA for submission to the NPP committee for their review and approval.","Monetary figures(vt), percentage (%)",No,"Rural/Urban, Provincial, National","Ministry of Finance & Economic Management
Ministry of Climate Change & Adaptation
",
2,Environment,2,An economy which fosters sustainable growth and development through low impact industries and modern technologies to ensure the wellbeing of future generations,ENV 2.6,Ensure adequate financial resources to support our sustainable development aspirations,ENV 2.6.2,Amount deposited in the Environmental Trust Fund,Environmental Trust Fund is operational,,,,,,"* Independent legal entity and investment collection and allocation of financial resources for environmental purposes

* Independent legal entity and investment to help mobilizing, blending, and overseeing the collection and allocation of financial resources for environmental purposes. It is a country­driven solution that facilitates strategic focus, rigorous project management, solid monitoring and evaluation, and high levels of transparency and accountability. The term encompasses conservation trust funds, wildlife trusts, climate and forest funds, and other funds established to deliver environmental, social and economic benefits.
","* National environment trust funds are independent grant – making institutions mobilised to managing financial resources for environmental purposes, such as biodiversity, conservation, protection of wild life, forests, climate change, adaptation and mitigation and other environmental issues.
* This environmental trust funds can be used to mobilise resources from donor partners, national governments, private sectors by providing assurance (root of the word trust) about the effective allocation of resources. A well-capitalized Environment trust fund can improve the effectiveness of environment projects and facilitate the alignment of strategies among stakeholders and reduce transactional cost for donors, government entitlements and implementing agencies.","* Increase in new initiatives for environmental activities
* More funds coming into the country through funding agencies targeting climate change, conservation of wild life etc,…",The environment trust fund advisory board then reviews all applications and makes recommendations to the minister. Once projects are approved the Minister will announce the ETF awards. The environment trust fund reimburses actual costs up to but not exceeding the approved amount for eligible activities.,Monetary values,,National,"Ministry of Climate Change & Adaptation

Department of Environmental protection & conservation

Aid Donors & NGO's",Annually
2,Environment,3,A strong and resilient nation in the face of climate change and disaster risks posed by natural and man-made hazards,ENV 3.3,"Strengthen post disaster systems in planning, preparedness, response and recovery.",ENV 3.3.1 ,"Number of supports plans available to communities for coordination, planning, preparedness, response and recovery",80% of communities have access to support plans,13.b.1,,,,,"* Post disasters plans or systems, strategies, frameworks that are set in place to address the needs of the general public that are affected by any disasters, either be natural or man-made disasters.
* The indicator focuses on the number of plans that the responsible institutions like the National Disaster Management office (NDMO), humanitarian responses teams and other NGO’s through the government have available for coordination and preparedness for response and recovery to support communities after disaster strike","* Post disaster support programmes, strategies, frameworks and plans developed in place by the NDMO and other humanitarian response teams like Red cross Vanuatu, Oxfam, to support communities after a disaster (man-made and natural disasters).

* There are two basic approaches in the post-disaster reconstruction which comprise of the ‘technology-based approach’ and ‘community-based approach’ [2]. Technology-based approaches are usually supported by a provider policy, with dependence on the import of dwellings from the developed donor countries. Community-based approach in the post-disaster reconstruction promotes and depends on public participation in reconstruction that helps build self-reliance into the affected communities and attempts to take advantage of the local resources in a long-term development. Implementations with this approach are sensitive to the needs of the community and do not ignore the social aspects of the process.","Indicates how the responsible government institutions (NDMO, VMDG, Climate Change Office) are ready and prepared to respond to any natural and man – made disasters that may arise in the future.","* Number of designed and approved post disaster plans by responsible institutions dealing with disaster responses

* Disaster Risk = hazard X Vulnerability – Capacity",total count,No,National,NDMO/VMDG/Climate Change office,
2,Environment,3,A strong and resilient nation in the face of climate change and disaster risks posed by natural and man-made hazards,ENV 3.4,"Promote and ensure strengthened resilience and adaptive capacity to climate related, natural and man-made hazards",ENV 3.4.1,Percentage of public schools using the climate change and disaster risk reduction modules in national curriculum at all levels ,85% of public schools using the climate change and disaster risk reduction modules in national curriculum at all levels,13.3.1 (Tier 3),13.3.2 (Tier 3),,,,"Climate change (CC) is the change in the global and regional patterns, in particular a change apparent from the mid to late 20th centuries onwards and is attributed largely to the increase levels of atmismospheric carbon dioxide produced by the use of fossil fuels where as Disaster Risk Reduction (DRR) is a systematic approach that is used to identify, asses and reduce the risk of disaster. It aims to reduce the socio-economic vulnerabilities to disaster and at the same time dealing with the environmental and other hazards that trigger them.","* Pacific island countries (PIC’s) are highly exposed to natural disasters and Vanuatu is amongst these vulnerable countries in the Pacific prone to natural hazards. The ministry of Education and teaching services has tried its best to incorporate the climate change and Disaster risk reduction modules into the curriculum so that it is thought in all public schools throughout Vanuatu.

*Despite the fact that Vanuatu is amongst the vulnerable countries prone to natural hazards, responsible institutions (MoCCA, MoET) play a tremendous role in making sure Vanuatu is strong and resilient to all types of disaster by introducing modules in schools to educate students to know more on climate change and DRR and be disaster resilient citizens.

* Increase in introducing and educating schools with climate change (CC) and Disaster risk reduction (DRR) modules by in cooperating these modules into the teaching curriculum in Vanuatu.                                                                                                                                                                                             ","
* Indicates the number of schools around Vanuatu that have access to climate change & disaster risk reduction modules at all levels of education.

* Promotes climate change and disaster risk reduction in public schools and educate students the risks and possible measures to take in fight against climate change and be of disaster resilient.",(# of public schools using CC & D= RR modules in National curriculum)/(total # of public schools ) X100,Percentage (%),No,Schools (Vocational/Primary/Secondary/College),VEMIS,Annually
2,Environment,5,A nation committed to ensuring the conservation and sustainable management of our biodiversity and ecosystem,ENV 5.6,"Enhance environmental monitoring, evaluation and research with relevant, open and transparent data sharing among relevant agencies",ENV 5.6.1,Proportion of government agencies using a central nformation sharing system for environmental data,1 central information sharing system for environment data is established,15.9.1 (Tier 3) , 15.a.1 (Tier 1),,,,"Environmental data is based on the measurement of environmental pressure, the state of the Environment (SOE) and the impacts on the ecosystem. Since environment is a cross cutting issue environmental data is generated by other institutions that execute environmental activities and are shared. The environmental database system is a set of components that is defined to control the collection of environmental data, its storage, management and its use of data.","Environmental management information system (EMIS), is an environmental data base that was established within the department of Environmental Protection and Conservation (DEPC) in 2018 funded by UNDP, under a project called, Mainstreaming Global Environmental priorities into national policies and programmes (CB2/CCCD Project). The database hosts environmental data that is collected by the department of Environment and other stakeholders (ie: government departments and other NGO’s) that collect environmental data throughout Vanuatu. The EMIS is designed according to the Peoples Plan (NSDP) Environmental Pillar 2 indicators and the National Environmental Policy and Implementation Plan (NEPIP) indicators.","The establishment of this database was to gather for a central sharing information system of environmental data for monitoring and evaluation of environmental issues and also for reporting purposes to international treaties (MEA’s), the Rio Conventions (i.e.: UNCBD, UNFCCC, UNCCD) signed by the government of Vanuatu, under the ministry of Climate change and Adaptation (MoCCA) and other national reporting’s.",(Number of government agencies accessing centralised environmental data system) /  (total number of government agencies) x 100,Percentage (%),No,"Government agencies
Data providers
Data sources
Data users",EMIS,Annually
1,Society,5,"A society where the rule of law is consistently upheld, and access to     timely justice is available to everyone.",SOC 5.5,"Strengthen links between traditional and formal  justice systems and role of chiefs in maintaining peace and stability.
   ",SOC 5.5.1,Total number of annual community engagement activities undertaken by national law enforcement officers.,Maintain baseline number,16.7.2 (Tier 3),,,,,"This indicator focuses mainly on the rule of law (ie: our laws that are well defined under the constitution (Mama Law of Vanuatu), these includes any other laws that are made at National, Provincial and at the community level by the chiefs) which address justice. This indicator aims to measure the number of community engagement activities that are carried out by law enforcement officers from the national level brought down to the community level and how they can be linked and adapted by the communities. 

Vanuatu has several institutions which deal with justice, crime and enforcement of other laws which are set by the country in order to address justice in a timely manner to all citizens of Vanuatu. For instance, Ministry of Justice, Crime unit, Vanuatu Police Force (VPF), Vanuatu Mobile Force (VMF), Woman Affairs, Malvatumauri council of chiefs... Etc, are responsible for providing activities to the community level to address these laws.  It strengthens links between traditional (chiefs) and formal justice to make sure that everyone from the National level to the community level are aware of these laws and that justice prevails through out the country.","All people and institutions are subject to and accountable to law that is fairly applied for justice and crime enforced across Vanuatu. Law enforcement officers should act in a manner to enforce law by discovering, preventing, detecting, investigating and punishing people who violet the rules/laws and norms within the communities.","There are certain approaches that can be used to address justice in the community level. Respective institutions or law enforcement institutions and their officers, formulate programs that suit the communities level of understandings ( ie: Awareness programs, training programs) to help community leaders to educate members at the community level. 
*Traditional values and gender equality is also considered when enforcing laws in the community level.
*Depicts crime rate in the community level and shows how much the law enforcement officers have engaged in community activities to ensure that the rule of law is upheld and that justice is prevailed", number of activities undertaken per month X (12) months ,count,No,"Law enforcement Units
Area Councils
Province
National",Law Enforcement Units,Annually
1,Society,6,A dynamic public sector with good governance and principles and strong institutions delivering the support and services expected by all citizens of Vanuatu,SOC 6.7,Guarantee the public rights to information,SOC 6.7.2,Proportion of data collected from requested acted upon by RTI officers in each government agency,By 2030 13 ministries,,,,,,All information collected by government agencies are to be made available to the general public.,"The rights to Information Act, gives legal basis to the right to information and requires all government agencies to release information upon request by the public. The rights to Information Act also establishes a complaint mechanism if agencies do not release information to the general public upon request under the RTI Act.","* Depicts how much information is provided to the general public.
* Making information available to the public and clear understanding of what the government agencies are doing (roles, duties & responsibilities).
*Indicates how much the information is important and is used by the general public and other data/information users
",(number of data information collect from request acted from request acted upon by RTI in each government agencies) / (total number of information) x 100,Percentage (%),,"Government agencies
Rural/Urban
Province
National",Government Agencies,Annually
